@relation v1

@attribute 'Candle body' numeric
@attribute 'Upper shadow' numeric
@attribute 'Lower shadow' numeric
@attribute 'is Bullish' numeric
@attribute RSI numeric
@attribute 'RSI SCALED' numeric
@attribute 'RSI EXTREME TOUCHED' numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI SCALED' numeric
@attribute 'CCI CHANNEL BREAK' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0.00013,0.00001,0.00004,-1,2,2,0,0,-4,-4,-2,-1,0.000018,0.000453,-95.617669,up
0.00006,0.00015,0.00006,0,3,3,0,0,-3,-3,-2,-1,0.000013,0.000434,-68.439948,up
0.00052,0.00009,0,-1,2,2,-1,-1,-5,-5,-2,-1,-0,0.000854,-150.478417,up
0.00046,0.00077,0.00056,0,3,3,0,0,-3,-3,-2,-1,-0.000011,0.000866,-36.720089,up
0.00027,0.00027,0.00032,0,3,3,0,0,0,0,0,0,-0.000016,0.000873,21.993546,up
0.00003,0.00003,0.00004,-1,3,3,0,0,0,0,0,0,-0.000018,0.000865,13.634787,up
0.00011,0.00015,0.00014,0,3,3,0,0,1,1,0,0,-0.000016,0.000883,34.445519,up
0.00006,0.0001,0.00016,0,3,3,0,0,2,2,0,0,-0.00001,0.000921,50.043147,up
0,0.00003,0.00017,-1,3,3,0,0,2,2,0,0,-0.000003,0.000954,45.607439,up
0.00008,0.00014,0.00008,0,3,3,0,0,3,3,1,1,0.000006,0.001009,58.557381,up
0.00025,0.00025,0.00042,0,3,3,0,0,3,3,2,1,0.00002,0.001176,90.273524,down
0.00009,0.00005,0.00002,-1,4,4,0,0,3,3,2,1,0.000035,0.001268,66.772265,down
0.00006,0.00014,0.00007,0,4,4,0,0,3,3,1,1,0.00005,0.001369,66.186509,down
0,0.00007,0.00003,-1,4,4,0,0,2,2,0,0,0.000065,0.001448,58.706264,down
0.0001,0.00006,0.00001,-1,4,4,0,0,2,2,0,0,0.000077,0.001478,39.576123,down
0.00017,0,0,-1,3,3,0,0,0,0,0,0,0.000083,0.001483,14.361049,up
0.00005,0.00003,0.00003,-1,4,4,1,1,0,0,0,0,0.000086,0.001486,9.761004,up
0.00008,0.00004,0.00003,-1,4,4,0,0,0,0,0,0,0.000085,0.00148,-4.324818,up
0.00012,0.00029,0.00012,0,3,3,0,0,0,0,0,0,0.000082,0.001478,15.561958,up
0.00001,0.00008,0.00004,-1,3,3,0,0,0,0,0,0,0.00008,0.001462,13.47824,up
0.00017,0.00021,0.00022,0,4,4,0,0,1,1,0,0,0.000079,0.001422,31.923383,down
0.00002,0.00006,0.00005,0,3,3,0,0,1,1,0,0,0.000079,0.001389,28.658135,down
0.00011,0.00022,0.00015,0,4,4,0,0,2,2,0,0,0.000082,0.000986,52.437509,down
